index,GID_LON,GID_LAT,T2000_01,T2001_01,T2002_01,T2003_01,T2004_01,T2005_01,T2006_01,T2007_01,T2008_01,T2009_01,T2010_01,T2011_01,T2012_01,T2013_01,T2014_01
38654,77.5,36.282722513089,-4.6089478,-4.408081,-3.606903,-4.3536987,-3.770935,-4.4772644,-3.9976807,-3.9629517,-4.139221,-3.977417,-3.5045776,-3.2469482,-3.3153992,-4.128418,-3.6550903
38655,78.75,36.282722513089,-1.6228638,-1.6710815,-0.56207275,-1.3247375,-0.8817749,-1.9744568,-1.2432861,-0.95080566,-1.1628418,-1.1370544,-0.6141052,-0.67767334,-0.31781006,-1.0396729,-0.56832886
38656,80.0,36.282722513089,2.0684204,2.0846252,2.9038086,2.3425903,2.6991577,2.0803833,2.4162903,2.3796997,2.3203125,2.0412903,2.7641296,2.8460999,2.8435364,2.513092,2.9360962
38657,81.25,36.282722513089,3.3650513,3.5862427,4.1542053,3.5681763,3.9415283,3.4925537,3.6125488,3.6774292,3.754547,3.3556519,4.0857544,4.1749573,4.133972,3.8181152,4.18396
38658,82.5,36.282722513089,2.4158325,2.4751587,3.2513428,2.8023987,3.1581116,2.59375,2.8222656,2.8329163,2.8781738,2.5704346,3.2016296,3.448639,3.2635803,2.9885864,3.4263306
38659,83.75,36.282722513089,-0.40600586,-0.6744385,0.2855835,-0.14685059,0.22424316,-0.5432739,-0.4029541,-0.1473999,-0.319458,-0.19613647,0.1204834,0.63442993,0.33325195,0.06008911,0.48492432
38660,85.0,36.282722513089,-3.4385986,-3.875702,-2.753662,-3.0089111,-2.5567322,-3.3522644,-3.4769287,-3.0368652,-2.8621216,-2.9587708,-2.7230835,-2.071045,-2.2786865,-2.7568054,-2.4363708
38661,86.25,36.282722513089,-5.5894165,-6.0898438,-5.0019226,-5.11499,-4.7249146,-5.445526,-5.756531,-5.232788,-4.9995728,-5.0608826,-4.7320557,-3.9394531,-4.1867065,-4.710449,-4.440918
38662,87.5,36.282722513089,-6.2265625,-6.7165527,-5.712036,-5.8983765,-5.63974,-6.256317,-6.5238647,-5.9544067,-5.786804,-5.906372,-5.7027893,-4.891815,-5.109558,-5.3566284,-4.9711914
38663,88.75,36.282722513089,-5.4089355,-5.9948425,-4.774872,-4.877411,-4.850281,-5.4959717,-5.4853516,-5.1046753,-4.963745,-5.0543823,-4.8036804,-3.8527527,-4.3151855,-4.597168,-4.2457886
38664,90.0,36.282722513089,-5.034973,-5.478943,-4.341034,-4.4775085,-4.329529,-5.0455017,-4.932953,-4.730316,-4.622406,-4.544159,-4.345642,-3.5773315,-3.9663086,-4.1436157,-3.9154968
38665,91.25,36.282722513089,-4.397522,-4.8954163,-3.6749878,-3.9364624,-3.6401367,-4.3164062,-4.2284546,-4.0151978,-3.9176636,-3.721527,-3.585144,-3.0116577,-3.3464966,-3.442505,-3.2196045
38666,92.5,36.282722513089,-1.2739868,-1.517456,-0.4555359,-0.9323425,-0.4689331,-1.0766296,-0.99591064,-0.8033447,-0.8290405,-0.8918457,-0.6401367,-0.043060303,-0.23175049,-0.4909973,-0.12472534
