index,GID_LON,GID_LAT,T2000_01,T2001_01,T2002_01,T2003_01,T2004_01,T2005_01,T2006_01,T2007_01,T2008_01,T2009_01,T2010_01,T2011_01,T2012_01,T2013_01,T2014_01
28300,95.0,2.356020942408378,2413.2242898456752,2363.8367640240176,2457.747470657341,2631.630681117531,2621.0293034731876,3042.91735435836,2884.7509032231756,2706.2189794087317,2609.6707040807814,2667.689604620682,2773.5633897653315,2590.1624422869645,2775.068181316601,2472.954597277567,2768.8825663615717
28301,96.25,2.356020942408378,2540.439109050203,2688.858819619054,3023.429766463232,2855.9030770207755,3162.065213828464,3422.4489289568737,3326.833666150924,3077.298454125412,3030.0316735112574,3009.9086474598153,3066.7911406606436,2952.530416077934,3186.77769752685,2969.4037963694427,3247.859171233722
28564,65.0,3.2984293193717207,1890.193692612229,2214.234265005507,2097.9822077337303,2640.648558337125,2089.7005669299688,2449.8778020904865,2341.9435376810725,2491.2082419614308,2699.7122225991916,2819.249997845327,2417.2722320450703,2294.403588838759,2057.0413117638964,2534.108256091713,2535.972279877751
28565,66.25,3.2984293193717207,1869.5073857204989,2224.857720746513,2277.4260937061626,2835.4272312048124,2120.3714705028688,2484.501619116054,2439.18107868667,2521.909861457243,2665.4555220360635,2932.8179407777498,2397.9596582750673,2355.103354126186,2123.2613270964066,2631.8959237651143,2616.844323875557
28566,67.5,3.2984293193717207,1885.229602993786,2217.341983548249,2309.404728289519,3006.941225945775,2189.9116905609844,2495.8485306386137,2548.0157360012527,2508.661707813735,2617.507105882396,2937.547224171067,2453.3387674426194,2393.5833200965135,2227.1784286174807,2703.4626659355126,2728.8505485266796
28567,68.75,3.2984293193717207,1952.6083975084475,2243.044181952064,2338.665068297996,3075.936259518494,2226.4661464170786,2488.3392454561545,2641.1435747577343,2605.2602166993893,2610.022172551544,2834.147758314066,2548.07265127165,2386.5803605389374,2337.2680699205375,2813.629337020393,2817.1104967870633
28568,70.0,3.2984293193717207,2019.4142143358476,2338.8645777067723,2356.788901445543,3136.5432062033506,2243.5514478594996,2540.5342223035404,2782.3371394908463,2704.2704888466687,2723.3878086379264,2822.014326569115,2622.6833107321,2428.9355124325084,2416.444755692646,2915.5873080373567,2793.076627076516
28569,71.25,3.2984293193717207,2067.286913130374,2471.5368651428435,2413.94923030457,3158.813556536188,2254.150569324702,2566.149412757659,2902.0889628023724,2666.713640535454,2829.1478062514216,2968.0605699471926,2605.056256765238,2493.585470151447,2413.8662503668456,2905.3532229736447,2763.7827437261876
28570,72.5,3.2984293193717207,2140.649679908529,2562.099597150518,2396.968219101109,3049.38617138032,2281.364558774658,2537.602178877569,2964.9756913800957,2574.9108316755155,2803.968831281236,2997.9403853831172,2593.9735847892734,2581.484677264234,2478.300641740134,2809.6740818866238,2747.366394333949
28571,73.75,3.2984293193717207,2195.4646665617474,2639.2351770256937,2295.6632453289785,2937.5113028276246,2310.9802058839705,2498.765233073209,2854.3973751555313,2510.7477521843975,2741.4052864944097,2901.0057073312055,2625.562031341906,2562.352927686152,2607.694855520458,2750.632500049687,2762.4317280045943
28572,75.0,3.2984293193717207,2185.150648414856,2659.340328134931,2288.759767859301,2906.4014735806268,2393.77297068786,2513.165566440148,2812.078627727169,2515.1874166956986,2667.656451882067,2867.2769052311196,2652.7687543955835,2395.7490331013105,2613.14454997555,2748.97811621413,2834.1818013155716
28573,76.25,3.2984293193717207,2162.8715018639923,2465.07414719963,2297.102636010095,2844.430325333815,2471.370643287082,2467.4587070272537,2815.0400427824934,2617.7108481882897,2594.153383962839,2709.26364566767,2636.0648314104765,2319.591706625215,2505.9345295674575,2743.365952058957,2845.1742293116695
28574,77.5,3.2984293193717207,2185.107989635435,2270.44301024398,2307.0036483331933,2706.7494037910365,2481.879158625088,2439.2665099840087,2826.2289303107536,2747.219607230363,2474.8961764169508,2625.6046067770512,2606.4062706234836,2307.8377466903476,2399.234774972865,2642.5402546621626,2803.765587953967
28575,78.75,3.2984293193717207,2210.215943600633,2198.200721155081,2283.4660895430716,2588.480086180789,2478.324096024153,2488.4325787468697,2828.01898921025,2751.274594727147,2352.2953418796533,2636.832414683886,2702.3115438936657,2297.617530647767,2367.5021089096845,2507.1609847793297,2680.045652743138
28576,80.0,3.2984293193717207,2139.8661164712394,2190.4671140611754,2237.2175734082703,2536.841363205167,2453.747851596563,2521.941026643617,2839.8161751501902,2679.125296685379,2249.065119099396,2587.7308887429535,2741.179058515263,2241.439746339165,2423.883564097923,2399.610512176878,2598.780170376267
28577,81.25,3.2984293193717207,2008.575777662918,2171.4348448291275,2186.785174074612,2438.319205158041,2362.1702715667197,2530.1837283797795,2751.98924823344,2592.2241908469005,2220.1371800285415,2454.300722244079,2707.5470480922377,2190.338184032589,2437.0589082609513,2331.890392302739,2572.87607313192
28578,82.5,3.2984293193717207,1943.9451646758243,2148.840377459055,2061.593412198272,2377.8036500370945,2238.509576766228,2539.3515626798035,2673.59739432286,2509.1955350653734,2203.471950328094,2281.93725424062,2761.8110473838897,2212.4675628227124,2363.857979924069,2281.2070840242086,2555.1475522719556
28579,83.75,3.2984293193717207,1950.6955043849302,2098.106047642068,2018.4987843618728,2401.7649858549703,2216.6066542704357,2605.6203081447165,2550.7337948743952,2478.9042259042617,2216.9069295865484,2274.071411960176,2756.331047234562,2244.8050360384514,2346.3047220531735,2207.118866185192,2592.7258519426687
28580,85.0,3.2984293193717207,1926.0365710943006,2075.2789898455376,2018.040480624768,2465.572637630976,2163.6497765037348,2686.3748066243716,2457.7386800316162,2373.792186836363,2253.691798145883,2307.3898600938264,2709.66723394522,2212.146807013778,2398.5264484217623,2183.676148478844,2626.719342934666
28581,86.25,3.2984293193717207,2036.6795345151331,2045.0616709000315,2002.0661775219196,2449.001647697878,2179.0302354856976,2717.4021896906197,2489.929431208293,2226.257864845684,2263.4447212563828,2277.5745670718607,2756.201279025481,2168.7336739880266,2473.1126091312035,2110.591927155474,2594.568579670158
28582,87.5,3.2984293193717207,2244.581424817443,2010.5128090239305,2072.7394951609313,2455.264800338773,2270.8128049242077,2691.7833400773816,2548.4865758829983,2190.8191472757608,2319.411929647322,2288.323387055425,2762.3473173840466,2141.4297143550357,2607.6930638198974,2026.779146080662,2533.489061932778
28583,88.75,3.2984293193717207,2428.990125004202,1915.0994031522714,2052.156019107497,2461.1138566047885,2304.9438908550655,2762.118566062418,2577.5238013244234,2186.744478068431,2229.406390382792,2241.9836162240244,2675.0034933909774,2170.183910756896,2678.1909159748466,2016.2368662495282,2488.633877184475
28584,90.0,3.2984293193717207,2467.8999316412956,1849.8538856612868,2045.1651574650896,2460.359190328745,2336.3557702992694,2718.104684879654,2504.097479119082,2248.1287403788883,2112.9512184590567,2156.3124510546913,2640.763237113424,2230.7302583707497,2653.0139172740746,2079.504727796302,2410.8018215512857
28585,91.25,3.2984293193717207,2458.771217451431,1870.6932750290434,2095.752426067338,2466.2318016547943,2370.7612325262744,2634.9324630748015,2404.544247564627,2347.9942620528163,2048.970203373756,2124.761274975026,2673.7217882422556,2276.2372788449284,2593.6451419402147,2093.9610497749527,2280.578743427759
28586,92.5,3.2984293193717207,2412.2202466533054,1952.244601399434,2100.884144725569,2487.526996291126,2397.162374277832,2683.2097606442403,2352.2532702132594,2423.78005568753,2112.689149324433,2191.336258733645,2696.502985038387,2266.2655574677046,2539.2024650849635,2044.8252734000562,2278.711130065494
